id,specific_event,abstract_event,trigger
0,中新网4月5日电,声明,电
1,据云南昭通市防震减灾局官方网站消息,声明,消息
2,截至5日14时云南昭通永善县地震,紧急情况,地震
3,已造成21人受伤,状态变化,受伤
4,6个乡镇48所学校受损,状态变化,受损
5,目前电力交通通讯设施修复,状态变化,修复
6,当地调拨帐篷,操作,调拨
7,紧急转移2.1万人,操作,转移
8,4月5日6时40分云南昭通永善县地震,紧急情况,地震
9,成都等四川多地震感,感知,震感
10,5月12日14时28分四川汶川地震,紧急情况,地震
11,15时50分新民网记者电话何女士,动作,电话
12,随即打电话父亲,动作,打电话
13,据何女士介绍,声明,介绍
14,当地房屋震感,紧急情况,震感
15,房顶的瓦片震落,状态变化,震落
16,目前村民躲平地处,动作,躲
17,另有新民网广西网友称,声明,称
18,下午2点半办公室晃动,动作,晃动
19,电话联系朋友,操作,联系
20,陕西富平震感20秒,紧急情况,震感
21,中新社北京五月十三日电,声明,电
22,北京时间五月十二日十四时二十八分四川汶川县地震,紧急情况,地震
23,据中国民政部统计,操作,统计
24,截至十三日九时四川甘肃陕西重庆云南山西贵州湖北九千二百余人死亡,状态变化,死亡
25,倒塌房屋五十余万间,状态变化,倒塌
26,五月十二日晚中共中央政治局会议,操作,会议
27,全面部署当前抗震救灾工作,操作,部署
28,中共中央总书记胡锦涛主持会议,操作,主持
29,决定成立抗震救灾总指挥部,操作,成立
30,李克强回良玉任,操作,任
31,全面负责抗震救灾工作,操作,负责
32,要立即组织人民解放军武警部队民兵预备役医疗卫生人员,操作,组织
33,尽快赶赴灾区,移动,赶赴
34,全力抢救受伤人员,操作,抢救
35,要千方百计向灾区运送食品饮用水药品帐篷防寒衣被,移动,运送
36,抓紧抢修设施设备,操作,抢修
37,尽快恢复通路通电通信供水,状态变化,恢复
38,据中央电视台报道,声明,报道
39,目前近两万解放军和武警官兵到达灾区,移动,到达
40,另有二点四万名官兵空运重灾区,移动,空运
41,还有一万名官兵前往灾区,移动,前往
42,三千名公安消防和特警调往灾区,移动,调往
43,中国国际救援队抵达灾区,移动,抵达
44,国家有关部门行动,操作,行动
45,中国民政部调拨五千顶帐篷,操作,调拨
46,民政部长李学举赴灾区,移动,赴
47,协助指导抗震救灾工作,操作,协助指导
48,卫生部组织十余支卫生应急队伍,操作,组织
49,已启程赶赴灾区,移动,赶赴
50,中国红十字会总会十二日灾区调拨救灾物资,操作,调拨
51,全国总工会灾区拨款一百万元救灾慰问金,操作,拨款
52,多国政府首脑致电中国政府,动作,致电
53,对死难者哀悼,动作,哀悼
54,联合国秘书长潘基文十二日晚致电杨洁篪,动作,致电
55,代表联合国向中国地震死难者哀悼,动作,哀悼
56,美国总统布什十二日声明,声明,声明
57,向在四川地震中的死难者哀悼,动作,哀悼
58,而美国协助中国政府,操作,协助
59,日本首相福田康夫十二日晚致电胡锦涛和温家宝,动作,致电
60,向地震灾区慰问,操作,慰问
61,海外华侨华人捐款捐物,操作,捐款捐物
62,中新社昆明月三十日电,声明,电
63,八月三十日十六时三十分四川省攀枝花市仁和区与四川省凉山彝族自治州会理县交界处地震,紧急情况,地震
64,云南省的楚雄昆明丽江大理震感,紧急情况,震感
65,记者致电该县县委办公室,动作,致电
66,据工作人员介绍,声明,介绍
67,县委书记赶到该县地震局,移动,赶到
68,永仁县各乡镇电话,动作,电话
69,要求从乡镇到居委会统计人员伤亡情况,操作,统计
70,据一位值班官员介绍,声明,介绍
71,而县城一些砖墙倒塌,状态变化,倒塌
72,房屋顶瓦片破损,状态变化,破损
73,另据该县地震局相关人士透露,操作,透露
74,由于手机通讯中断,状态变化,中断
75,乡镇的统计数据汇总,操作,汇总
76,云南省会昆明震感,紧急情况,震感
77,许多市民走上街头,移动,走上
78,丽江市与四川省攀枝花市相邻较近的华坪永胜震感,紧急情况,震感
79,还没有收到报告,动作,收到
80,新华网成都8月30日电,声明,电
81,30日16时30分两地交界处地震,紧急情况,地震
82,已造成部分乡镇房屋垮塌,状态变化,垮塌
83,尚未接到报告,动作,接到
84,两地城区震感,紧急情况,震感
85,但无房屋倒塌,状态变化,倒塌
86,震区人员跑住房,移动,跑
87,当地政府抢险,操作,抢险
88,据仁和区委值班室值班人员介绍,声明,介绍
89,镇上房屋倒塌,状态变化,倒塌
90,没有接到报告,动作,接到
91,到18时12分当地余震,紧急情况,余震
92,沿金沙江一带房屋倒塌,状态变化,倒塌
93,仁和区委、区政府领导赶赴这两个乡镇,移动,赶赴
94,区委所在地仁和镇发现房屋倒塌和人员伤亡,感知,发现
95,据会理县政府值班室人员介绍,声明,介绍
96,该县联系江竹乡,操作,联系
97,该乡学校房屋扯裂,状态变化,扯裂
98,今天14时35分宁夏回族自治区首府银川市地震,紧急情况,地震
99,14时35分左右记者办公室觉得,感知,觉得
100,水桶里的矿泉水晃动,动作,晃动
101,记者四楼跑楼下,移动,跑
102,与记者站邻近的一家学校已把所有学生疏散空旷的场地,移动,疏散
103,新华网兰州5月12日电,声明,电
104,"受强烈地震影响,12日14时30分许兰州市区震感",紧急情况,震感
105,市民走上街头,移动,走上
106,学校疏散人群安全场所,移动,疏散
107,手机通讯受阻,状态变化,受阻
108,今天下午14时30分记者写稿,动作,写稿
109,紧接着房间的衣架摇来摇去,动作,摇来摇去
110,整个房间摇摆,动作,摇摆
111,整座办公大楼摇来摆去,动作,摇来摆去
112,此时写字台书柜发出响声,状态变化,发出
113,楼下院子里有人喊,动作,喊
114,这种摇曳3分钟时间,动作,摇曳
115,近期地震部门没预报,感知,预报
116,记者前往地震部门,移动,前往
117,尼加拉瓜西南部太平洋沿岸11日下午地震,紧急情况,地震
118,尼加拉瓜政府发言人罗萨里奥・穆里略当天全国电视网络证实,声明,证实
119,地震当地时间11日14时29分,紧急情况,地震
120,尼加拉瓜西北部10日地震,紧急情况,地震
121,截至目前1人死亡,状态变化,死亡
122,800多间房屋损坏,状态变化,损坏
123,尼总统奥尔特加11日凌晨宣布,声明,宣布
124,数千名震区内的危房住户转移,操作,转移
125,当地所有学校停课,状态变化,停课
126,主要商业设施关闭,状态变化,关闭
127,记者首都街头看,动作,看
128,人们涌街头附近空地,动作,涌
129,许多民众自10日晚到现在回家,移动,回
130,首都地区许多住宅墙体开裂,状态变化,开裂
131,新华社北京12月23日电,声明,电
132,据国家地震台网测定,操作,测定
133,12月23日8时4分台湾省高雄县地震,紧急情况,地震
134,新华网昆明5月12日电,声明,电
135,12日四川地震,紧急情况,地震
136,对云南的昭通等地部分房屋倒损,状态变化,倒损
137,据云南省地震局监测预报处处长吴国华介绍,声明,介绍
138,记者昭通市感觉,感知,感觉
139,到当日16时许昭通市报告,感知,报告
140,据昭通市地震局局长徐家金介绍,声明,介绍
141,当时有的房屋晃动,动作,晃动
142,公园水池里的水震荡,动作,震荡
143,有几分钟电话中断,状态变化,中断
144,还有一些老房子垮,状态变化,垮
145,目前当地地震部门震情收集,操作,收集
146,新华网太原5月12日电,声明,电
147,12日14时30分左右太原市震感,紧急情况,震感
148,目前当地社会秩序恢复,状态变化,恢复
149,据记者有关部门了解,感知,了解
150,山西省临汾市运城市震感,紧急情况,震感
151,太原市民感到,感知,感到
152,桌子家具晃动,动作,晃动
153,尤其是高层建筑晃动,动作,晃动
154,很多人跑户外空旷地带,移动,跑
155,据迎泽大街一家银行的工作人员介绍,声明,介绍
156,据记者打电话亲友,动作,打电话
157,运城临汾震感,紧急情况,震感
158,通讯员王金虎报道,声明,报道
159,2008年3月21日06时33分02.6秒我区和田地区于田县地震,紧急情况,地震
160,新疆维吾尔自治区党委副书记、自治区主席努尔・白克力批示,感知,批示
161,要求各有关部门工作,操作,工作
162,国家减灾中心、民政部救灾司启动灾害四级响应,操作,启动
163,并派救灾工作组,操作,派
164,和田地委、行署重视,感知,重视
165,立即启动救灾应急预案,操作,启动
166,地委、行署领导临灾区,移动,临
167,自治区民政厅派出救灾工作组,操作,派出
168,受灾20480户44365人,状态变化,受灾
